schoolid,schoolname,calendaryear,firsttimebaryear,gradtotal,graddidnottake,gradnoinfo,prioryrfirsttimetaker,totalfirsttimetakers,reportpct,avgschoolpasspct,avgstatepasspct,avgpasspctdiff,ultimatebaryear,ultimatecohorttotal,ultimatedidnottake,ultimatenoinfo,ultimatetakers,ultimatepassers,ultimateschoolpasspct
00143401,American University,2016,2015,,,,,375,0.808,0.6237,0.7436,-0.1199,,,,,,,
00143401,American University,2017,2016,415,76,4,49,384,,0.6224,0.7413,-0.1189,,,,,,,
00143401,American University,2018,2017,377,88,4,54,339,,0.6283,0.7489,-0.1206,2015,480,67,14,399,299,0.7494
00143711,Catholic University of America,2009,2008,,,,,276,0.7754,0.8411,0.8531,-0.012,,,,,,,
00143711,Catholic University of America,2010,2009,,,,,247,0.753,0.7742,0.7927,-0.0185,,,,,,,
00143711,Catholic University of America,2011,2010,,,,,259,0.8069,0.7751,0.802,-0.0269,,,,,,,
00143711,Catholic University of America,2012,2011,,,,,262,0.7824,0.7902,0.8097,-0.0195,,,,,,,
00143711,Catholic University of America,2013,2012,,,,,248,0.7702,0.7696,0.7851,-0.0155,,,,,,,
00143711,Catholic University of America,2014,2013,,,,,246,0.7358,0.757,0.8019,-0.0449,,,,,,,
00143711,Catholic University of America,2015,2014,,,,,175,0.8514,0.7114,0.7576,-0.0462,,,,,,,
00143711,Catholic University of America,2016,2015,,,,,144,0.7708,0.5316,0.7272,-0.1956,,,,,,,
00143711,Catholic University of America,2017,2016,139,11,2,4,130,,0.6385,0.7308,-0.0923,,,,,,,
00143711,Catholic University of America,2018,2017,112,10,0,5,107,,0.7383,0.7332,0.0051,2015,134,3,1,130,104,0.8
00144102,District of Columbia,2009,2008,,,,,73,0.7534,0.8,0.8206,-0.0206,,,,,,,
00144102,District of Columbia,2010,2009,,,,,69,1,0.6088,0.7688,-0.16,,,,,,,
00144102,District of Columbia,2011,2010,,,,,78,0.7692,0.5,0.7721,-0.2721,,,,,,,
00144102,District of Columbia,2012,2011,,,,,69,0.8116,0.6429,0.8119,-0.169,,,,,,,
00144102,District of Columbia,2013,2012,,,,,84,0.75,0.5556,0.789,-0.2334,,,,,,,
00144102,District of Columbia,2014,2013,,,,,78,0.9615,0.5467,0.7918,-0.2451,,,,,,,
00144102,District of Columbia,2015,2014,,,,,110,0.7364,0.4815,0.7475,-0.266,,,,,,,
00144102,District of Columbia,2016,2015,,,,,60,0.95,0.4735,0.7127,-0.2392,,,,,,,
00144102,District of Columbia,2017,2016,96,21,0,19,94,,0.4894,0.726,-0.2366,,,,,,,
00144102,District of Columbia,2018,2017,68,19,0,16,65,,0.3846,0.7259,-0.3413,2015,71,3,0,68,44,0.6471
00144402,George Washington University,2009,2008,,,,,529,0.8601,0.9518,0.8529,0.0989,,,,,,,
00144402,George Washington University,2010,2009,,,,,531,1,0.9398,0.8082,0.1316,,,,,,,
00144402,George Washington University,2011,2010,,,,,488,0.957,0.9356,0.8102,0.1254,,,,,,,
00144402,George Washington University,2012,2011,,,,,503,0.8847,0.9326,0.8164,0.1162,,,,,,,
00144402,George Washington University,2013,2012,,,,,567,0.8854,0.9025,0.7916,0.1109,,,,,,,
00144402,George Washington University,2014,2013,,,,,612,0.884,0.9056,0.806,0.0996,,,,,,,
00144402,George Washington University,2015,2014,,,,,575,0.833,0.8623,0.7597,0.1026,,,,,,,
00144402,George Washington University,2016,2015,,,,,411,0.9465,0.7995,0.7343,0.0652,,,,,,,
00144402,George Washington University,2017,2016,555,0,113,22,464,,0.8341,0.7319,0.1022,,,,,,,
00144402,George Washington University,2018,2017,618,0,133,40,525,,0.88,0.7568,0.1232,2015,465,0,29,436,419,0.961
00144503,Georgetown University,2009,2008,,,,,637,0.7488,0.9372,0.8585,0.0787,,,,,,,
00144503,Georgetown University,2010,2009,,,,,674,0.7715,0.9096,0.8141,0.0955,,,,,,,
00144503,Georgetown University,2011,2010,,,,,645,0.7891,0.8939,0.8045,0.0894,,,,,,,
00144503,Georgetown University,2012,2011,,,,,656,0.7607,0.9038,0.8143,0.0895,,,,,,,
00144503,Georgetown University,2013,2012,,,,,612,0.8154,0.8777,0.7888,0.0889,,,,,,,
00144503,Georgetown University,2014,2013,,,,,647,0.8223,0.8985,0.8096,0.0889,,,,,,,
00144503,Georgetown University,2015,2014,,,,,626,0.8003,0.8783,0.7547,0.1236,,,,,,,
00144503,Georgetown University,2016,2015,,,,,677,0.8035,0.8567,0.7353,0.1214,,,,,,,
00144503,Georgetown University,2017,2016,649,67,30,60,612,,0.933,0.7469,0.1861,,,,,,,
00144503,Georgetown University,2018,2017,674,17,52,48,653,,0.925,0.7654,0.1596,2015,692,18,18,656,615,0.9375
00144802,Howard University,2009,2008,,,,,131,0.7176,0.6382,0.8574,-0.2192,,,,,,,
00144802,Howard University,2010,2009,,,,,131,0.8702,0.7193,0.8104,-0.0911,,,,,,,
00144802,Howard University,2011,2010,,,,,127,0.7008,0.6854,0.8139,-0.1285,,,,,,,
00144802,Howard University,2012,2011,,,,,170,0.7412,0.5953,0.8258,-0.2305,,,,,,,
00144802,Howard University,2013,2012,,,,,145,0.8966,0.4769,0.7898,-0.3129,,,,,,,
00144802,Howard University,2014,2013,,,,,135,0.7259,0.6428,0.8237,-0.1809,,,,,,,
00144802,Howard University,2015,2014,,,,,85,0.9882,0.6547,0.7656,-0.1109,,,,,,,
00144802,Howard University,2016,2015,,,,,103,0.9515,0.6224,0.7255,-0.1031,,,,,,,
00144802,Howard University,2017,2016,136,39,8,17,106,,0.5095,0.7345,-0.225,,,,,,,
00144802,Howard University,2018,2017,107,14,4,9,98,,0.7755,0.7612,0.0143,2015,130,12,0,118,86,0.7288
00146601,Barry University,2009,2008,,,,,166,0.9217,0.7647,0.8076,-0.0429,,,,,,,
00146601,Barry University,2010,2009,,,,,164,0.8049,0.7045,0.7781,-0.0736,,,,,,,
00146601,Barry University,2011,2010,,,,,209,0.9234,0.7358,0.7763,-0.0405,,,,,,,
00146601,Barry University,2012,2011,,,,,210,0.8571,0.7056,0.7996,-0.094,,,,,,,
00146601,Barry University,2013,2012,,,,,187,0.8396,0.8089,0.7932,0.0157,,,,,,,
00146601,Barry University,2014,2013,,,,,192,0.8542,0.7927,0.7791,0.0136,,,,,,,
00146601,Barry University,2015,2014,,,,,195,0.9231,0.6222,0.7209,-0.0987,,,,,,,
00146601,Barry University,2016,2015,,,,,222,0.8874,0.5025,0.6779,-0.1754,,,,,,,
00146601,Barry University,2017,2016,209,47,8,86,240,,0.4583,0.6655,-0.2072,,,,,,,
00146601,Barry University,2018,2017,178,68,3,43,150,,0.56,0.6849,-0.1249,2015,244,3,7,234,172,0.735
00146800,St. Thomas University (Florida),2009,2008,,,,,200,0.825,0.7879,0.8076,-0.0197,,,,,,,
00146800,St. Thomas University (Florida),2010,2009,,,,,182,0.7912,0.7361,0.7781,-0.042,,,,,,,
00146800,St. Thomas University (Florida),2011,2010,,,,,184,0.8533,0.7452,0.7763,-0.0311,,,,,,,
00146800,St. Thomas University (Florida),2012,2011,,,,,212,0.8915,0.7513,0.7996,-0.0483,,,,,,,
00146800,St. Thomas University (Florida),2013,2012,,,,,202,0.896,0.7514,0.7932,-0.0418,,,,,,,
00146800,St. Thomas University (Florida),2014,2013,,,,,231,0.8918,0.7136,0.7791,-0.0655,,,,,,,
00146800,St. Thomas University (Florida),2015,2014,,,,,200,0.89,0.6742,0.7209,-0.0467,,,,,,,
00146800,St. Thomas University (Florida),2016,2015,,,,,161,0.9503,0.5556,0.6779,-0.1223,,,,,,,
00146800,St. Thomas University (Florida),2017,2016,208,50,2,40,196,,0.449,0.6655,-0.2165,,,,,,,
00146800,St. Thomas University (Florida),2018,2017,179,55,0,48,172,,0.593,0.6836,-0.0906,2015,159,2,3,154,121,0.7857
00148001,Florida A&M University,2009,2008,,,,,108,0.9722,0.6571,0.8076,-0.1505,,,,,,,
00148001,Florida A&M University,2010,2009,,,,,154,0.9026,0.5252,0.7781,-0.2529,,,,,,,
00148001,Florida A&M University,2011,2010,,,,,145,0.7448,0.6111,0.7763,-0.1652,,,,,,,
00148001,Florida A&M University,2012,2011,,,,,185,0.7784,0.6319,0.7996,-0.1677,,,,,,,
00148001,Florida A&M University,2013,2012,,,,,147,0.8367,0.6748,0.7932,-0.1184,,,,,,,
00148001,Florida A&M University,2014,2013,,,,,203,0.8621,0.7314,0.7791,-0.0477,,,,,,,
00148001,Florida A&M University,2015,2014,,,,,231,0.6797,0.7325,0.7209,0.0116,,,,,,,
00148001,Florida A&M University,2016,2015,,,,,139,0.8777,0.6639,0.6779,-0.014,,,,,,,
00148001,Florida A&M University,2017,2016,123,40,8,32,107,,0.5047,0.6702,-0.1655,,,,,,,
00148001,Florida A&M University,2018,2017,124,30,16,43,121,,0.5124,0.685,-0.1726,2015,135,0,15,120,94,0.7833
00148900,Florida State University,2009,2008,,,,,291,0.89,0.8687,0.8076,0.0611,,,,,,,
00148900,Florida State University,2010,2009,,,,,247,0.8704,0.8651,0.7781,0.087,,,,,,,
00148900,Florida State University,2011,2010,,,,,244,0.8607,0.8619,0.7763,0.0856,,,,,,,
00148900,Florida State University,2012,2011,,,,,265,0.8415,0.8834,0.7996,0.0838,,,,,,,
00148900,Florida State University,2013,2012,,,,,255,0.8824,0.8889,0.7932,0.0957,,,,,,,
00148900,Florida State University,2014,2013,,,,,230,0.8609,0.8838,0.7791,0.1047,,,,,,,
00148900,Florida State University,2015,2014,,,,,250,0.856,0.8224,0.7209,0.1015,,,,,,,
00148900,Florida State University,2016,2015,,,,,228,0.8991,0.8,0.6779,0.1221,,,,,,,
00148900,Florida State University,2017,2016,192,25,4,16,179,,0.7933,0.6653,0.128,,,,,,,
00148900,Florida State University,2018,2017,237,41,7,23,212,,0.8019,0.6826,0.1193,2015,250,4,9,237,194,0.8186
00150900,Nova Southeastern University,2009,2008,,,,,245,0.9265,0.8414,0.8076,0.0338,,,,,,,
00150900,Nova Southeastern University,2010,2009,,,,,258,0.9612,0.8387,0.7781,0.0606,,,,,,,
00150900,Nova Southeastern University,2011,2010,,,,,255,0.9647,0.8333,0.7763,0.057,,,,,,,
00150900,Nova Southeastern University,2012,2011,,,,,288,0.9063,0.8659,0.7996,0.0663,,,,,,,
00150900,Nova Southeastern University,2013,2012,,,,,350,0.9257,0.7963,0.7932,0.0031,,,,,,,
00150900,Nova Southeastern University,2014,2013,,,,,294,0.9626,0.8163,0.7791,0.0372,,,,,,,
00150900,Nova Southeastern University,2015,2014,,,,,250,0.972,0.7037,0.7209,-0.0172,,,,,,,
00150900,Nova Southeastern University,2016,2015,,,,,271,0.9926,0.6506,0.6779,-0.0273,,,,,,,
00150900,Nova Southeastern University,2017,2016,236,0,18,8,226,,0.646,0.6566,-0.0106,,,,,,,
00150900,Nova Southeastern University,2018,2017,219,0,16,8,211,,0.6872,0.6802,0.007,2015,285,0,18,267,226,0.8464
00153101,Stetson University,2009,2008,,,,,283,0.9223,0.8199,0.8076,0.0123,,,,,,,
00153101,Stetson University,2010,2009,,,,,299,0.9532,0.8105,0.7781,0.0324,,,,,,,
00153101,Stetson University,2011,2010,,,,,291,1,0.7595,0.7763,-0.0168,,,,,,,
00153101,Stetson University,2012,2011,,,,,286,1,0.8741,0.7996,0.0745,,,,,,,
00153101,Stetson University,2013,2012,,,,,317,1,0.8927,0.7932,0.0995,,,,,,,
00153101,Stetson University,2014,2013,,,,,295,0.9458,0.8925,0.7791,0.1134,,,,,,,
00153101,Stetson University,2015,2014,,,,,259,1,0.7992,0.7209,0.0783,,,,,,,
00153101,Stetson University,2016,2015,,,,,237,1,0.7677,0.6816,0.0861,,,,,,,
00153101,Stetson University,2017,2016,282,74,0,67,275,,0.7382,0.6626,0.0756,,,,,,,
00153101,Stetson University,2018,2017,237,52,0,62,247,,0.6963,0.6882,0.0081,2015,270,18,0,252,224,0.8889
00153505,University of Florida,2009,2008,,,,,481,0.9917,0.8869,0.8147,0.0722,,,,,,,
00153505,University of Florida,2010,2009,,,,,362,0.8895,0.8571,0.7781,0.079,,,,,,,
00153505,University of Florida,2011,2010,,,,,377,0.8355,0.8794,0.7763,0.1031,,,,,,,
00153505,University of Florida,2012,2011,,,,,386,0.9171,0.9039,0.8021,0.1018,,,,,,,
00153505,University of Florida,2013,2012,,,,,320,0.9563,0.8954,0.7932,0.1022,,,,,,,
00153505,University of Florida,2014,2013,,,,,353,0.9717,0.8717,0.7791,0.0926,,,,,,,
00153505,University of Florida,2015,2014,,,,,294,0.9626,0.8905,0.7209,0.1696,,,,,,,
00153505,University of Florida,2016,2015,,,,,286,0.9965,0.8702,0.6779,0.1923,,,,,,,
00153505,University of Florida,2017,2016,320,33,4,20,303,,0.7855,0.6635,0.122,,,,,,,
00153505,University of Florida,2018,2017,326,29,9,32,320,,0.7562,0.6869,0.0693,2015,309,0,4,305,299,0.9803
00153601,University of Miami,2009,2008,,,,,373,0.7346,0.9051,0.8076,0.0975,,,,,,,
00153601,University of Miami,2010,2009,,,,,384,0.849,0.8252,0.7957,0.0295,,,,,,,
00153601,University of Miami,2011,2010,,,,,464,0.7694,0.8431,0.7763,0.0668,,,,,,,
00153601,University of Miami,2012,2011,,,,,421,0.772,0.8308,0.7996,0.0312,,,,,,,
00153601,University of Miami,2013,2012,,,,,439,0.7312,0.8131,0.7932,0.0199,,,,,,,
00153601,University of Miami,2014,2013,,,,,389,0.838,0.816,0.7791,0.0369,,,,,,,
00153601,University of Miami,2015,2014,,,,,393,0.8346,0.811,0.7209,0.0901,,,,,,,
00153601,University of Miami,2016,2015,,,,,372,0.8306,0.6926,0.6779,0.0147,,,,,,,
00153601,University of Miami,2017,2016,319,67,0,52,304,,0.7665,0.6671,0.0994,,,,,,,
00153601,University of Miami,2018,2017,245,25,22,59,257,,0.8365,0.6957,0.1408,2015,401,33,0,368,340,0.9239
00156400,Emory University,2009,2008,,,,,140,0.7714,0.9352,0.8927,0.0425,,,,,,,
00156400,Emory University,2010,2009,,,,,155,0.7097,0.9182,0.8628,0.0554,,,,,,,
00156400,Emory University,2011,2010,,,,,153,0.7647,0.9487,0.8361,0.1126,,,,,,,
00156400,Emory University,2012,2011,,,,,147,0.7007,0.932,0.8477,0.0843,,,,,,,
00156400,Emory University,2013,2012,,,,,256,0.8438,0.9305,0.8323,0.0982,,,,,,,
00156400,Emory University,2014,2013,,,,,293,0.7372,0.949,0.8504,0.0986,,,,,,,
00156400,Emory University,2015,2014,,,,,277,0.7076,0.8878,0.7982,0.0896,,,,,,,
00156400,Emory University,2016,2015,,,,,311,0.7299,0.8414,0.7435,0.0979,,,,,,,
00156400,Emory University,2017,2016,284,25,14,13,258,,0.7946,0.7301,0.0645,,,,,,,
00156400,Emory University,2018,2017,302,22,19,20,281,,0.7936,0.7451,0.0485,2015,312,5,4,303,287,0.9472
00157400,Georgia State University,2009,2008,,,,,172,1,0.9419,0.8927,0.0492,,,,,,,
00157400,Georgia State University,2010,2009,,,,,170,1,0.9412,0.8628,0.0784,,,,,,,
00157400,Georgia State University,2011,2010,,,,,167,1,0.9281,0.8361,0.092,,,,,,,
00157400,Georgia State University,2012,2011,,,,,174,0.9943,0.9422,0.8477,0.0945,,,,,,,
00157400,Georgia State University,2013,2012,,,,,200,0.93,0.9677,0.8398,0.1279,,,,,,,
00157400,Georgia State University,2014,2013,,,,,199,0.8945,0.9438,0.8515,0.0923,,,,,,,
00157400,Georgia State University,2015,2014,,,,,202,1,0.9158,0.8023,0.1135,,,,,,,
00157400,Georgia State University,2016,2015,,,,,202,0.8564,0.8844,0.7345,0.1499,,,,,,,
00157400,Georgia State University,2017,2016,199,33,11,52,207,,0.8309,0.7134,0.1175,,,,,,,
00157400,Georgia State University,2018,2017,184,28,15,40,181,,0.8232,0.7336,0.0896,2015,199,0,11,188,165,0.8777
00158015,Mercer University,2009,2008,,,,,144,0.8333,0.9583,0.8927,0.0656,,,,,,,
00158015,Mercer University,2010,2009,,,,,159,0.7925,0.873,0.8628,0.0102,,,,,,,
00158015,Mercer University,2011,2010,,,,,142,0.8099,0.9043,0.8361,0.0682,,,,,,,
00158015,Mercer University,2012,2011,,,,,140,0.7571,0.7736,0.8477,-0.0741,,,,,,,
00158015,Mercer University,2013,2012,,,,,152,0.8092,0.9268,0.8398,0.087,,,,,,,
00158015,Mercer University,2014,2013,,,,,164,0.8293,0.8676,0.8515,0.0161,,,,,,,
00158015,Mercer University,2015,2014,,,,,143,0.8462,0.8099,0.8023,0.0076,,,,,,,
00158015,Mercer University,2016,2015,,,,,111,0.9189,0.7451,0.7345,0.0106,,,,,,,
00158015,Mercer University,2017,2016,166,5,5,2,158,,0.6583,0.712,-0.0537,,,,,,,
00158015,Mercer University,2018,2017,124,10,0,5,119,,0.7647,0.7322,0.0325,2015,115,3,1,111,102,0.9189
00159800,University of Georgia,2009,2008,,,,,174,1,0.9885,0.8883,0.1002,,,,,,,
00159800,University of Georgia,2010,2009,,,,,201,1,0.9505,0.8578,0.0927,,,,,,,
00159800,University of Georgia,2011,2010,,,,,215,0.9442,0.9703,0.8334,0.1369,,,,,,,
00159800,University of Georgia,2012,2011,,,,,223,0.9596,0.9251,0.8465,0.0786,,,,,,,
00159800,University of Georgia,2013,2012,,,,,218,1,0.9451,0.8385,0.1066,,,,,,,
00159800,University of Georgia,2014,2013,,,,,229,1,0.9477,0.8467,0.101,,,,,,,
00159800,University of Georgia,2015,2014,,,,,222,0.9955,0.9094,0.7986,0.1108,,,,,,,
00159800,University of Georgia,2016,2015,,,,,188,1,0.8883,0.7369,0.1514,,,,,,,
00159800,University of Georgia,2017,2016,197,10,4,13,196,,0.8724,0.7151,0.1573,,,,,,,
00159800,University of Georgia,2018,2017,182,16,3,6,169,,0.8875,0.7356,0.1519,2015,190,1,2,187,178,0.9519
00161000,University of Hawaii,2009,2008,,,,,91,0.8132,0.8649,0.8848,-0.0199,,,,,,,
00161000,University of Hawaii,2010,2009,,,,,81,0.9383,0.8816,0.8594,0.0222,,,,,,,
00161000,University of Hawaii,2011,2010,,,,,74,0.9324,0.7536,0.7704,-0.0168,,,,,,,
00161000,University of Hawaii,2012,2011,,,,,92,0.9348,0.7442,0.8304,-0.0862,,,,,,,
00161000,University of Hawaii,2013,2012,,,,,94,0.8723,0.7439,0.7511,-0.0072,,,,,,,
00161000,University of Hawaii,2014,2013,,,,,97,0.8866,0.8256,0.8148,0.0108,,,,,,,
00161000,University of Hawaii,2015,2014,,,,,97,0.9897,0.698,0.7436,-0.0456,,,,,,,
00161000,University of Hawaii,2016,2015,,,,,106,0.9245,0.7857,0.763,0.0227,,,,,,,
00161000,University of Hawaii,2017,2016,77,19,0,13,71,,0.7042,0.7916,-0.0874,,,,,,,
00161000,University of Hawaii,2018,2017,124,37,0,15,102,,0.7255,0.7574,-0.0319,2015,108,7,0,101,90,0.8911
00162600,University of Idaho,2009,2008,,,,,93,0.9892,0.7718,0.8023,-0.0305,,,,,,,
00162600,University of Idaho,2010,2009,,,,,93,0.9892,0.837,0.8319,0.0051,,,,,,,
00162600,University of Idaho,2011,2010,,,,,85,1,0.6944,0.7994,-0.105,,,,,,,
00162600,University of Idaho,2012,2011,,,,,106,0.7925,0.7856,0.8067,-0.0211,,,,,,,
00162600,University of Idaho,2013,2012,,,,,94,0.7234,0.8529,0.8556,-0.0027,,,,,,,
00162600,University of Idaho,2014,2013,,,,,130,0.7308,0.779,0.8235,-0.0445,,,,,,,
00162600,University of Idaho,2015,2014,,,,,111,0.8559,0.7158,0.749,-0.0332,,,,,,,
00162600,University of Idaho,2016,2015,,,,,95,0.8737,0.6747,0.7333,-0.0586,,,,,,,
00162600,University of Idaho,2017,2016,115,21,1,27,120,,0.7417,0.7824,-0.0407,,,,,,,
00162600,University of Idaho,2018,2017,89,9,10,19,89,,0.7303,0.7832,-0.0529,2015,108,3,0,105,94,0.8952
00167100,Depaul University,2009,2008,,,,,300,0.89,0.8914,0.9094,-0.018,,,,,,,
00167100,Depaul University,2010,2009,,,,,320,0.8625,0.9239,0.9089,0.015,,,,,,,
00167100,Depaul University,2011,2010,,,,,288,0.9201,0.8981,0.8938,0.0043,,,,,,,
00167100,Depaul University,2012,2011,,,,,326,0.8313,0.9262,0.891,0.0352,,,,,,,
00167100,Depaul University,2013,2012,,,,,370,0.8432,0.875,0.8734,0.0016,,,,,,,
00167100,Depaul University,2014,2013,,,,,295,0.9492,0.8679,0.8726,-0.0047,,,,,,,
00167100,Depaul University,2015,2014,,,,,280,0.8964,0.8685,0.8541,0.0144,,,,,,,
00167100,Depaul University,2016,2015,,,,,241,0.8714,0.8143,0.808,0.0063,,,,,,,
00167100,Depaul University,2017,2016,233,24,17,26,218,,0.7064,0.7741,-0.0677,,,,,,,
00167100,Depaul University,2018,2017,232,25,26,26,207,,0.6957,0.7948,-0.0991,2015,253,0,13,240,212,0.8833
00169101,Chicago-Kent College of Law-IIT,2009,2008,,,,,307,0.8795,0.963,0.9094,0.0536,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2010,2009,,,,,271,0.9926,0.9517,0.9089,0.0428,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2011,2010,,,,,252,0.9563,0.9378,0.8938,0.044,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2012,2011,,,,,303,0.9472,0.9721,0.891,0.0811,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2013,2012,,,,,271,0.9299,0.9484,0.8734,0.075,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2014,2013,,,,,266,0.9662,0.93,0.8784,0.0516,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2015,2014,,,,,263,0.962,0.8854,0.8541,0.0313,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2016,2015,,,,,256,0.9297,0.8403,0.808,0.0323,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2017,2016,241,40,12,39,228,,0.8158,0.7744,0.0414,,,,,,,
00169101,Chicago-Kent College of Law-IIT,2018,2017,209,19,25,41,206,,0.767,0.7934,-0.0264,2015,282,2,23,257,235,0.9144
00169800,John Marshall Law School,2009,2008,,,,,420,0.9024,0.8786,0.9094,-0.0308,,,,,,,
00169800,John Marshall Law School,2010,2009,,,,,398,0.9447,0.8511,0.9089,-0.0578,,,,,,,
00169800,John Marshall Law School,2011,2010,,,,,378,0.9392,0.8873,0.8938,-0.0065,,,,,,,
00169800,John Marshall Law School,2012,2011,,,,,398,0.9045,0.8333,0.891,-0.0577,,,,,,,
00169800,John Marshall Law School,2013,2012,,,,,376,0.9814,0.8347,0.8734,-0.0387,,,,,,,
00169800,John Marshall Law School,2014,2013,,,,,429,0.8485,0.8489,0.8784,-0.0295,,,,,,,
00169800,John Marshall Law School,2015,2014,,,,,389,0.928,0.8449,0.8541,-0.0092,,,,,,,
00169800,John Marshall Law School,2016,2015,,,,,335,1.003,0.7232,0.808,-0.0848,,,,,,,
00169800,John Marshall Law School,2017,2016,298,21,17,19,279,,0.6702,0.7726,-0.1024,,,,,,,
00169800,John Marshall Law School,2018,2017,352,88,19,15,260,,0.7307,0.7953,-0.0646,2015,381,2,11,368,319,0.8668
00171000,Loyola University-Chicago,2009,2008,,,,,217,0.894,0.9433,0.9094,0.0339,,,,,,,
00171000,Loyola University-Chicago,2010,2009,,,,,295,0.8814,0.9308,0.9088,0.022,,,,,,,
00171000,Loyola University-Chicago,2011,2010,,,,,241,0.9876,0.8866,0.8941,-0.0075,,,,,,,
00171000,Loyola University-Chicago,2012,2011,,,,,212,1,0.8915,0.8896,0.0019,,,,,,,
00171000,Loyola University-Chicago,2013,2012,,,,,227,0.9648,0.9133,0.8714,0.0419,,,,,,,
00171000,Loyola University-Chicago,2014,2013,,,,,259,0.9459,0.8857,0.8784,0.0073,,,,,,,
00171000,Loyola University-Chicago,2015,2014,,,,,242,0.9504,0.8348,0.8541,-0.0193,,,,,,,
00171000,Loyola University-Chicago,2016,2015,,,,,246,0.9268,0.7939,0.808,-0.0141,,,,,,,
00171000,Loyola University-Chicago,2017,2016,209,44,0,11,176,,0.7841,0.7783,0.0058,,,,,,,
00171000,Loyola University-Chicago,2018,2017,222,30,4,12,200,,0.785,0.7982,-0.0132,2015,262,40,0,222,178,0.8018
00173700,Northern Illinois University,2009,2008,,,,,106,0.9623,0.9608,0.9094,0.0514,,,,,,,
00173700,Northern Illinois University,2010,2009,,,,,85,0.8706,0.7973,0.9089,-0.1116,,,,,,,
00173700,Northern Illinois University,2011,2010,,,,,81,1.1111,0.8222,0.8938,-0.0716,,,,,,,
00173700,Northern Illinois University,2012,2011,,,,,100,0.9,0.8667,0.891,-0.0243,,,,,,,
00173700,Northern Illinois University,2013,2012,,,,,90,0.8778,0.8734,0.8734,0,,,,,,,
00173700,Northern Illinois University,2014,2013,,,,,110,0.9364,0.8738,0.8784,-0.0046,,,,,,,
00173700,Northern Illinois University,2015,2014,,,,,95,0.9053,0.8488,0.8541,-0.0053,,,,,,,
00173700,Northern Illinois University,2016,2015,,,,,101,0.901,0.7363,0.808,-0.0717,,,,,,,
00173700,Northern Illinois University,2017,2016,83,17,0,17,83,,0.7952,0.7764,0.0188,,,,,,,
00173700,Northern Illinois University,2018,2017,69,12,1,15,71,,0.7605,0.7988,-0.0383,2015,101,4,0,97,86,0.8866
00173900,Northwestern University,2009,2008,,,,,197,0.8782,0.9596,0.9034,0.0562,,,,,,,
00173900,Northwestern University,2010,2009,,,,,258,0.7829,0.906,0.8919,0.0141,,,,,,,
00173900,Northwestern University,2011,2010,,,,,279,0.7204,0.8807,0.8686,0.0121,,,,,,,
00173900,Northwestern University,2012,2011,,,,,271,0.8081,0.927,0.8529,0.0741,,,,,,,
00173900,Northwestern University,2013,2012,,,,,282,0.8156,0.9043,0.8299,0.0744,,,,,,,
00173900,Northwestern University,2014,2013,,,,,297,0.8519,0.913,0.8397,0.0733,,,,,,,
00173900,Northwestern University,2015,2014,,,,,298,0.7517,0.8705,0.806,0.0645,,,,,,,
00173900,Northwestern University,2016,2015,,,,,292,0.8425,0.8577,0.7641,0.0936,,,,,,,
00173900,Northwestern University,2017,2016,249,8,5,3,239,,0.8285,0.7619,0.0666,,,,,,,
00173900,Northwestern University,2018,2017,249,13,5,4,235,,0.9064,0.783,0.1234,2015,288,5,7,276,262,0.9493
00175800,Southern Illinois University-Carbondale,2009,2008,,,,,103,0.8447,0.954,0.9111,0.0429,,,,,,,
00175800,Southern Illinois University-Carbondale,2010,2009,,,,,114,0.7632,0.908,0.9103,-0.0023,,,,,,,
00175800,Southern Illinois University-Carbondale,2011,2010,,,,,129,0.8527,0.7545,0.8947,-0.1402,,,,,,,
00175800,Southern Illinois University-Carbondale,2012,2011,,,,,107,0.7196,0.8831,0.8938,-0.0107,,,,,,,
00175800,Southern Illinois University-Carbondale,2013,2012,,,,,121,0.7851,0.7894,0.879,-0.0896,,,,,,,
00175800,Southern Illinois University-Carbondale,2014,2013,,,,,128,0.8359,0.8879,0.8825,0.0054,,,,,,,
00175800,Southern Illinois University-Carbondale,2015,2014,,,,,99,0.9091,0.8667,0.8558,0.0109,,,,,,,
00175800,Southern Illinois University-Carbondale,2016,2015,,,,,96,0.7708,0.6891,0.8195,-0.1304,,,,,,,
00175800,Southern Illinois University-Carbondale,2017,2016,111,28,6,27,104,,0.6058,0.7795,-0.1737,,,,,,,
00175800,Southern Illinois University-Carbondale,2018,2017,107,20,7,21,101,,0.604,0.7987,-0.1947,2015,111,6,4,101,86,0.8515
00177400,University of Chicago,2009,2008,,,,,195,0.8462,0.9515,0.8756,0.0759,,,,,,,
00177400,University of Chicago,2010,2009,,,,,206,0.7961,0.9146,0.8597,0.0549,,,,,,,
00177400,University of Chicago,2011,2010,,,,,199,0.7085,0.9433,0.8749,0.0684,,,,,,,
